P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 134060 b,,,Hot,Neptunian,gas,metals-rich,non-habitable,11.16,11.16,,3.83,0.20,0.76,1.71,        402.4701,        860.4522,        2190.596,1141.1,1336.0,1743.0,,,,2.2,-27.57,7.28,3.27,0.0444,0.40,0.04,,0.0,HD 134060,,,Cir,G0V,1.09,1.18,5940.0,1.554643,,,6.3,24.20,15.1792,-61.4222,-34.2,15.5514,2,1,0.927,2.174,-2.42,2.87,-0.85,0.21,,0.00,0.00,0.24,0,0,0,1,Radial Velocity,      2011.00
HD 134060 c,,,Warm,Neptunian,gas,hydrogen-rich,non-habitable,47.91,47.91,,6.21,0.20,1.24,2.78,       0.1024648,       0.4743748,        5.018609,144.1,182.8,381.3,,,,9.6,-20.80,11.83,1160.90,2.2263,0.75,1.47,,0.0,HD 134060,,,Cir,G0V,1.09,1.18,5940.0,1.554643,,,6.3,24.20,15.1792,-61.4222,-26.4,0.4284,2,1,0.927,2.174,0.42,4.05,1.78,0.18,,0.00,0.00,0.53,0,0,0,1,Radial Velocity,      2011.00
HD 134113 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,14943.18,14943.18,,9.41,17.92,168.66,39.84,        4.263013,        5.076300,        6.093614,366.1,381.8,400.3,,,,267760.0,-23.84,17.96,201.68,0.6380,0.09,0.64,,163.0,HD 134113,,,Boo,F9V,0.81,1.44,5782.0,2.058059,-0.740,,8.3,71.90,15.1297,8.8797,-28.5,1.2056,1,0,1.076,2.536,-1.60,25.48,37.64,0.02,,0.00,0.00,0.19,0,0,0,1,Radial Velocity,      2016.00
HD 134606 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.28,9.28,,1.95,1.26,2.45,2.18,        80.42700,        107.5678,        147.1982,762.9,817.0,887.4,807.5,861.5,931.9,11.7,-23.74,3.70,12.08,0.1023,0.15,0.10,,0.0,HD 134606,,,Aps,G6IV,0.98,1.00,5940.0,1.112991,,,6.8,26.50,15.2542,-70.5197,-31.8,5.2797,3,1,0.784,1.840,-2.29,-0.14,-0.26,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Radial Velocity,      2011.00
HD 134606 c,,,Hot,Neptunian,gas,metals-rich,non-habitable,12.15,12.15,,3.94,0.20,0.78,1.76,        7.625012,        13.25557,        25.16546,423.4,478.2,570.6,,,,2.4,-23.03,7.49,59.52,0.2962,0.29,0.28,,0.0,HD 134606,,,Aps,G6IV,0.98,1.00,5940.0,1.112991,,,6.8,26.50,15.2542,-70.5197,-29.6,1.8832,3,1,0.784,1.840,-1.94,2.91,-0.20,0.22,,0.00,0.00,0.33,0,0,0,1,Radial Velocity,      2011.00
HD 134606 d,,,Warm,Neptunian,gas,hydrogen-rich,non-habitable,38.47,38.47,,5.78,0.20,1.15,2.58,       0.3903753,       0.9368676,        2.852744,201.4,239.9,331.1,,,,7.7,-21.06,11.01,459.26,1.1567,0.46,1.03,,0.0,HD 134606,,,Aps,G6IV,0.98,1.00,5940.0,1.112991,,,6.8,26.50,15.2542,-70.5197,-26.8,0.5198,3,1,0.784,1.840,-0.42,3.82,1.37,0.20,,0.00,0.00,0.62,0,0,0,1,Radial Velocity,      2011.00
HD 134987 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,505.52,505.52,,10.99,0.38,4.18,6.78,        1.525963,        2.385112,        3.942727,283.2,313.3,359.0,,,,192.3,-23.38,21.01,258.19,0.8100,0.23,0.79,,252.7,HD 134987,HD 134987,HIP 74500,Lib,G5 V,1.07,1.25,5740.0,1.521800,0.250,9.700,6.5,22.20,15.2244,-25.3092,-27.7,0.8457,2,0,0.928,2.188,-1.20,7.10,5.61,0.10,,0.00,0.00,0.38,0,0,0,1,Radial Velocity,      1999.00
HD 134987 c,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,260.71,260.71,,9.89,0.27,2.66,5.13,      0.03606719,      0.04556709,      0.05841658,111.0,117.4,125.3,,,,70.2,-18.81,18.88,5000.00,5.8000,0.12,5.76,,195.0,HD 134987,HD 134987,HIP 74500,Lib,G5 V,1.07,1.25,5740.0,1.521800,0.250,9.700,6.5,22.20,15.2244,-25.3092,-23.4,0.1157,2,0,0.928,2.188,6.70,6.19,7.41,0.08,,0.00,0.00,0.17,0,0,0,1,Radial Velocity,      2009.00
HD 136352 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.28,5.28,,1.68,1.11,1.87,1.77,        86.50932,        122.4370,        179.1152,777.0,842.3,932.0,818.6,883.8,973.6,5.9,-23.57,3.19,11.58,0.0933,0.18,0.09,,0.0,HD 136352,,,Lup,G4V,0.81,0.97,5940.0,1.048391,,,5.7,14.80,15.3633,-48.3175,-32.0,5.6474,3,0,0.761,1.785,-2.30,-0.15,-0.56,0.30,0.00,0.00,0.00,0.28,0,0,0,1,Radial Velocity,      2011.00
HD 136352 c,,,Hot,Neptunian,gas,metals-rich,non-habitable,11.38,11.38,,3.85,0.20,0.77,1.72,        28.10861,        38.31127,        53.59649,586.6,630.8,689.3,,,,2.3,-24.11,7.33,27.58,0.1665,0.16,0.16,,0.0,HD 136352,,,Lup,G4V,0.81,0.97,5940.0,1.048391,,,5.7,14.80,15.3633,-48.3175,-30.7,3.1527,3,0,0.761,1.785,-2.16,2.88,-0.41,0.22,,0.00,0.00,0.28,0,0,0,1,Radial Velocity,      2011.00
HD 136352 d,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.54,9.54,,1.96,1.26,2.48,2.21,        3.035982,        6.874417,        19.10249,336.3,397.3,532.6,380.9,441.9,577.3,12.1,-20.86,3.73,106.72,0.4110,0.43,0.37,,0.0,HD 136352,,,Lup,G4V,0.81,0.97,5940.0,1.048391,,,5.7,14.80,15.3633,-48.3175,-28.9,1.3963,3,0,0.761,1.785,-1.72,-0.14,0.34,0.36,0.00,0.00,0.00,0.41,0,0,0,1,Radial Velocity,      2011.00
HD 136418 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,635.88,635.88,,11.26,0.45,5.02,7.52,        2.499629,        4.070755,        7.091885,320.3,357.4,415.8,,,,283.3,-24.02,21.52,464.30,1.3200,0.26,1.28,,12.0,HD 136418,HD 136418,HIP 74961,Boo,G5,1.33,3.40,5071.0,6.858389,-0.070,4.000,7.9,98.20,15.3186,41.7333,-28.3,1.4196,1,0,2.044,4.929,-1.52,7.42,5.88,0.09,,0.00,0.00,0.30,0,0,0,1,Radial Velocity,      2010.00
HD 137388 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,70.90,70.90,,7.03,0.20,1.43,3.18,       0.3105279,       0.6154669,        1.401854,190.2,219.9,277.2,,,,14.5,-20.98,13.40,330.00,0.8900,0.36,0.83,,86.0,HD 137388,,,Aps,K0/K1V,0.86,0.82,5240.0,0.454823,0.180,6.450,8.7,38.00,15.5944,-80.2047,-26.3,0.5263,1,1,0.522,1.250,-0.07,4.49,2.32,0.17,,0.00,0.00,0.54,0,0,0,1,Radial Velocity,      2011.00
